123|Leong|0| ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2|
1001|James|0| ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1|
1002|John|0| ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1|
1003|Simon|0| ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1|
1004|Bayes|0| ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1|
1005|Euclid|0| ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1|
1006|Heimer|0| ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1|
1007|Lannin|0| ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1|
1008|Birch|0| ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1|
1009|Harper|0| ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1|
